target_time,split_code,recommended_patrols,maximum_priority_score,mean_selected_confidence,deployment_status
2024-03-03 01:00:00+05:30,2,16,7.0432897,0.91332406,deployment_recommended
2024-03-03 02:00:00+05:30,2,25,6.448618,0.8890281,deployment_recommended
2024-03-03 03:00:00+05:30,2,25,9.653082,0.8805681,deployment_recommended
2024-03-03 04:00:00+05:30,2,25,4.790018,0.8450151,deployment_recommended
2024-03-03 05:00:00+05:30,2,25,5.247246,0.8367911,deployment_recommended
2024-03-03 06:00:00+05:30,2,25,5.1397085,0.8828862,deployment_recommended
2024-03-03 07:00:00+05:30,2,25,4.4058666,0.8758667,deployment_recommended
2024-03-03 08:00:00+05:30,2,25,5.831891,0.8979896,deployment_recommended
2024-03-03 09:00:00+05:30,2,25,6.002657,0.86944246,deployment_recommended
2024-03-03 10:00:00+05:30,2,25,9.200613,0.88694626,deployment_recommended
2024-03-03 11:00:00+05:30,2,25,8.9262705,0.90059793,deployment_recommended
2024-03-03 12:00:00+05:30,2,25,10.052765,0.88803965,deployment_recommended
2024-03-03 13:00:00+05:30,2,25,3.0492573,0.86617357,deployment_recommended
2024-03-03 14:00:00+05:30,2,21,3.3790348,0.85031307,deployment_recommended
2024-03-03 15:00:00+05:30,2,5,1.4197688,0.9034524,deployment_recommended
2024-03-03 16:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-03 17:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-03 18:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-03 19:00:00+05:30,2,1,0.7237432,0.7928488,deployment_recommended
2024-03-03 20:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-03 21:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-03 22:00:00+05:30,2,0,,,no_deployment_recommended
2024-03-03 23:00:00+05:30,2,2,1.0866146,0.90314716,deployment_recommended
2024-03-04 00:00:00+05:30,2,6,2.3065057,0.92104554,deployment_recommended
2024-03-04 01:00:00+05:30,2,14,5.1062217,0.9039579,deployment_recommended
2024-03-04 02:00:00+05:30,2,19,5.652992,0.88939035,deployment_recommended
2024-03-04 03:00:00+05:30,2,25,4.470928,0.8678833,deployment_recommended
